"section","result","population","cohort_start","cohort_end","outcome","estimate","ci_low","ci_high","p_value","status","thesis_use","result_file","code_file"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.0517966462186518,-0.0915743374178742,-0.013115464648109,0.0097009700970097,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.155389938655955,-0.274723012253623,-0.039346393944327,0.0097009700970097,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.0141478993613825,-0.0378575052911153,0.00912110605320802,0.218121812181218,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.0424436980841474,-0.113572515873346,0.0273633181596241,0.218121812181218,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"tech_drift",0.000944927010795411,-0.0292117641428454,0.0308639497014342,0.947494749474947,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"tech_drift",0.00283478103238623,-0.0876352924285361,0.0925918491043025,0.947494749474947,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.00989229958414699,-0.0184847448961227,-0.00170899608567513,0.0195019501950195,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.029676898752441,-0.0554542346883681,-0.00512698825702539,0.0195019501950195,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.00737029753529944,-0.130846416919151,0.128637767071778,0.910591059105911,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Alternative post window, t=+1,...,+3","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.0221108926058983,-0.392539250757452,0.385913301215333,0.910591059105911,"completed","Alternative-window robustness.","02_analysis/output/audit/local_match_v2_1993_amendment/P6_SHORT_WINDOW_T1_T3/short_window_headline.csv","02_analysis/R/52_run_lmv2_short_window.R"
"Robustness","Treatment timing shifted three years early","Pre-deal target-inventor cohort",1993,2010,"patent_count",0.00635514875165786,-0.0406300368186021,0.0549391982112825,0.791379137913791,"completed","Valid pre-treatment placebo. A three-year late shift is not estimated because it uses truly treated years as pseudo-preperiods.","02_analysis/output/audit/local_match_v2_1993_amendment/TIMING_PLACEBO_EARLY3/timing_placebo_headline.csv","02_analysis/R/53_run_lmv2_timing_placebo.R"
"Robustness","Treatment timing shifted three years early","Pre-deal target-inventor cohort",1993,2010,"patent_count",0.0127102975033157,-0.0812600736372041,0.109878396422565,0.791379137913791,"completed","Valid pre-treatment placebo. A three-year late shift is not estimated because it uses truly treated years as pseudo-preperiods.","02_analysis/output/audit/local_match_v2_1993_amendment/TIMING_PLACEBO_EARLY3/timing_placebo_headline.csv","02_analysis/R/53_run_lmv2_timing_placebo.R"
"Robustness","Treatment timing shifted three years early","Pre-deal target-inventor cohort",1993,2010,"active_patenting",0.00832123470926863,-0.0192869449027262,0.0374253579566792,0.548254825482548,"completed","Valid pre-treatment placebo. A three-year late shift is not estimated because it uses truly treated years as pseudo-preperiods.","02_analysis/output/audit/local_match_v2_1993_amendment/TIMING_PLACEBO_EARLY3/timing_placebo_headline.csv","02_analysis/R/53_run_lmv2_timing_placebo.R"
"Robustness","Treatment timing shifted three years early","Pre-deal target-inventor cohort",1993,2010,"active_patenting",0.0166424694185373,-0.0385738898054525,0.0748507159133585,0.548254825482548,"completed","Valid pre-treatment placebo. A three-year late shift is not estimated because it uses truly treated years as pseudo-preperiods.","02_analysis/output/audit/local_match_v2_1993_amendment/TIMING_PLACEBO_EARLY3/timing_placebo_headline.csv","02_analysis/R/53_run_lmv2_timing_placebo.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.312212347345446,-0.364290173315919,-0.260134521374972,0.0000000000000000000000000000000702707482879894,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.361904563282636,-0.401713862006822,-0.32209526455845,0.0000000000000000000000000000000000000000000000000000000000000000000000509866107636252,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.339912774340104,-0.390094005186339,-0.28973154349387,0.000000000000000000000000000000000000000317036721886569,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"active_patenting",-0.366405982494361,-0.404837862918217,-0.327974102070505,0.00000000000000000000000000000000000000000000000000000000000000000000000000000638112139752922,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.150445939832144,-0.45461835279899,0.153726473134702,0.332330395440589,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.181996372980254,-0.887598920521768,0.52360617456126,0.613177044667257,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.30951492543135,-0.730581760101902,0.111551909239202,0.149657195097861,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",-0.35445525788238,-0.812581000958825,0.103670485194066,0.129401455177319,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.492946038035831,-0.576532606885335,-0.409359469186328,0.000000000000000000000000000000665054239791294,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.580094717449967,-0.676157469525516,-0.484031965374418,0.0000000000000000000000000000000254707752210366,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.547208630415508,-0.634967178534425,-0.45945008229659,0.000000000000000000000000000000000239048185156251,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"patent_count",-0.595014716100154,-0.670257827659313,-0.519771604540995,0.00000000000000000000000000000000000000000000000000000349729745659782,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.0759245935123683,-0.0985908020748646,-0.053258384949872,0.0000000000519013970526573,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.0930683151748656,-0.115877798146744,-0.0702588322029873,0.00000000000000127194334585853,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.106685223235578,-0.128671536533902,-0.0846989099372532,0.0000000000000000000018956544948723,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",-0.114259803491815,-0.138734790022708,-0.0897848169609213,0.0000000000000000000568670902903627,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=0.0000.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:3","Pre-deal target-inventor cohort",1993,2010,"tech_drift",0.454541269511521,0.307508454565723,0.601574084457319,0.0000000013680220251411,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=   NA.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=0, post window 1:5","Pre-deal target-inventor cohort",1993,2010,"tech_drift",0.454541269511521,0.302417795073429,0.606664743949613,0.0000000047291513616068,"qualified: pretrend rejected or unavailable","Companion estimator; pretreatment Wald p=   NA.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_headline.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), notyettreated, anticipation=1, failed stage aggte_dynamic","Pre-deal target-inventor cohort",1993,2010,"tech_drift",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. Estimator message: Internal error: influence function column indices (1) exceed available columns (0). Please report this as a bug.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_FINAL/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=0, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"patent_count",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=1, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"patent_count",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=0, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"active_patenting",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=1, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"active_patenting",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=0, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=1, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"pqii_scaled",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=0, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=1, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"fwd_cits5_scaled",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=0, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"tech_drift",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Co-equal identification","CS(2021), nevertreated, anticipation=1, failed stage control_group_support","Pre-deal target-inventor cohort",1993,2010,"tech_drift",NA,NA,NA,NA,"unavailable after attempted estimation","Do not impute or substitute this cell. The repaired CS spine contains zero g=0 never-treated units, so this comparison is not identified; the failed aggregation is a downstream symptom.","02_analysis/output/audit/local_match_v2_1993_amendment/CS2021_1993_NEVER/cs2021_failures.csv","02_analysis/R/51_run_cs2021_1993.R"
"Decomposition","Three-factor patent-count accounting decomposition","Pre-deal target-inventor cohort",1993,2010,"cessation",-0.032393022439392,NA,NA,NA,"accounting component","Share of total patent-count effect: 62.2%.","02_analysis/output/audit/local_match_v2_1993_amendment/P8_EXIT_DECOMPOSITION/exit_decomposition_components.csv","02_analysis/R/36c_estimate_lmv2_exit_decomposition.R"
"Decomposition","Three-factor patent-count accounting decomposition","Pre-deal target-inventor cohort",1993,2010,"active_given_survival",-0.00508447061391359,NA,NA,NA,"accounting component","Share of total patent-count effect: 9.8%.","02_analysis/output/audit/local_match_v2_1993_amendment/P8_EXIT_DECOMPOSITION/exit_decomposition_components.csv","02_analysis/R/36c_estimate_lmv2_exit_decomposition.R"
"Decomposition","Three-factor patent-count accounting decomposition","Pre-deal target-inventor cohort",1993,2010,"patents_per_active_year",-0.0145828155596728,NA,NA,NA,"accounting component","Share of total patent-count effect: 28.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/P8_EXIT_DECOMPOSITION/exit_decomposition_components.csv","02_analysis/R/36c_estimate_lmv2_exit_decomposition.R"
"Decomposition","Three-factor patent-count accounting decomposition","Pre-deal target-inventor cohort",1993,2010,"total",-0.0520603086129783,-0.0847596165954391,-0.0193610006305176,NA,"completed","Share of total patent-count effect: 100.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/P8_EXIT_DECOMPOSITION/exit_decomposition_components.csv","02_analysis/R/36c_estimate_lmv2_exit_decomposition.R"
"Decomposition","Full-cohort two-factor Shapley decomposition","Pre-deal target-inventor cohort",1993,2010,"extensive_active_patenting",-0.0380147385138818,NA,NA,NA,"accounting decomposition","Order-invariant Shapley contribution of the active-patenting margin. Share: 73.0%.","02_analysis/output/audit/local_match_v2_1993_amendment/FINAL_THESIS_RELEASE_1993/fullcohort_extensive_intensive_decomposition.csv","02_analysis/R/58_build_final_thesis_release_1993.R"
